timestamp_s,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1551.328547,-0.101562,0.591797,9.739258,-1.417480,-0.113525,-0.070068
1551.337867,-0.388672,0.008789,10.096680,-1.067383,-0.174805,0.043701
1551.347188,-0.070312,0.878906,9.834961,-0.288574,-0.647461,0.384766
1551.356508,-0.248047,0.591797,10.118164,-0.472412,-0.717285,0.131104
1551.365828,-0.223633,0.375977,10.404297,-0.358643,-0.883545,-0.140137
1551.375149,0.103516,0.603516,10.164062,-0.008545,-1.076172,0.358643
1551.384469,-0.023438,0.456055,9.329102,-0.148682,-1.172363,0.131104
1551.393790,-0.093750,-0.070312,9.651367,0.043945,-1.084961,0.008545
1551.403110,-0.058594,0.458008,9.769531,0.428955,-0.866211,0.096191
1551.412431,0.012695,0.723633,9.939453,0.157715,-0.726074,0.096191
1551.421751,0.107422,0.698242,9.929688,-0.183594,-0.699951,0.139893
1551.431071,-0.000977,0.587891,9.774414,-0.551025,-0.638672,0.017334
1551.440392,-0.027344,0.432617,9.900391,-0.822266,-0.489990,0.052490
1551.449712,0.043945,0.566406,9.678711,-1.058594,-0.332275,0.087402
1551.459033,-0.002930,0.593750,9.836914,-1.347412,-0.131104,0.061035
1551.468353,-0.032227,0.623047,9.776367,-1.566162,-0.087402,-0.008789
1551.477674,0.083984,0.707031,9.960938,-1.688721,-0.008545,0.061035
1551.486994,-0.176758,0.495117,9.999023,-1.662354,0.113770,0.096191
1551.496314,-0.050781,0.508789,9.789062,-1.671143,0.008789,0.000000
1551.505635,-0.047852,0.622070,10.019531,-1.539795,0.157715,0.069824
1551.514955,-0.011719,0.553711,10.136719,-1.531006,0.218750,0.026123
1551.524276,-0.191406,0.381836,10.131836,-1.417480,0.262695,0.034912
1551.533596,-0.051758,0.519531,10.204102,-1.058594,0.253906,-0.008789
1551.542917,0.035156,0.289062,10.206055,-1.067383,0.323975,-0.043945
1551.552237,-0.143555,0.304688,10.193359,-0.691162,0.525146,-0.096436
1551.561557,0.156250,0.364258,9.864258,-0.446045,0.455078,0.043701
1551.570878,-0.212891,0.518555,10.178711,-0.358643,0.682617,-0.096436
1551.580198,0.043945,0.337891,10.066406,-0.577393,0.656250,-0.070068
1551.589519,-0.083008,0.369141,10.209961,-0.516113,0.910156,-0.070068
1551.598839,0.020508,0.245117,9.875000,-0.402344,0.822510,0.000000
1551.608159,-0.304688,0.396484,10.135742,-0.244873,0.945068,0.008545
1551.617480,0.247070,0.489258,9.710938,-0.218506,0.551270,-0.113770
1551.626800,-0.265625,0.206055,9.871094,-0.358643,0.822510,0.043701
1551.636121,0.072266,0.431641,9.579102,-0.297363,0.665039,0.078613
1551.645441,-0.198242,0.190430,9.848633,-0.411133,0.805176,0.139893
1551.654762,-0.032227,0.588867,9.818359,-0.297363,0.708984,0.008545
1551.664082,0.060547,0.370117,9.848633,-0.507324,0.603760,0.131104
1551.673402,-0.268555,0.476562,9.816406,-0.489990,0.595215,0.096191
1551.682723,0.163086,0.205078,9.509766,-0.594971,0.385010,0.157471
1551.692043,-0.240234,0.330078,9.678711,-0.376221,0.630127,0.157471
1551.701364,0.140625,0.413086,9.532227,-0.227295,0.498779,0.104980
1551.710684,-0.098633,0.337891,9.526367,-0.096191,0.682617,0.096191
1551.720005,0.011719,0.540039,9.700195,0.131348,0.700195,0.069824
1551.729325,-0.064453,0.335938,9.672852,-0.008545,0.875000,0.139893
1551.738645,0.002930,0.458984,9.705078,0.087646,0.945068,0.008545
1551.747966,0.023438,0.411133,9.662109,0.140137,0.988770,0.078613
1551.757286,-0.087891,0.496094,9.787109,0.245117,1.093750,0.087402
1551.766607,0.066406,0.406250,9.651367,0.218750,1.155029,0.113525
1551.775927,-0.193359,0.468750,9.861328,0.227539,1.347656,0.131104
1551.785248,0.063477,0.604492,9.710938,0.122559,1.242676,0.148682
1551.794568,-0.132812,0.417969,9.916992,-0.052490,1.330078,0.218506
1551.803888,-0.080078,0.333984,9.977539,-0.078613,1.242676,0.218506
1551.813209,-0.136719,0.470703,9.951172,0.008789,1.207520,0.183594
1551.822529,-0.059570,0.497070,9.790039,-0.052490,1.155029,0.139893
1551.831850,0.007812,0.443359,9.771484,-0.087402,1.155029,0.131104
1551.841170,-0.215820,0.237305,9.684570,-0.113525,1.128906,0.236084
1551.850490,-0.084961,0.369141,9.709961,0.043945,1.050049,0.244873
1551.859811,-0.066406,0.516602,9.875000,0.218750,1.032715,0.139893
1551.869131,-0.176758,0.574219,10.007812,0.227539,0.971436,0.052490
1551.878452,0.028320,0.293945,9.601562,0.000000,0.857666,0.288574
1551.887772,-0.115234,0.704102,9.771484,0.078857,0.901367,0.174805
1551.897093,-0.084961,0.411133,9.542969,-0.139893,0.752686,0.131104
1551.906413,-0.128906,0.316406,9.712891,-0.034912,0.673828,0.087402
1551.915733,-0.073242,0.602539,9.922852,0.166260,0.673828,0.201172
1551.925054,-0.077148,0.437500,9.852539,0.140137,0.568848,0.122314
1551.934374,-0.198242,0.539062,9.863281,0.122559,0.525146,0.069824
1551.943695,-0.072266,0.428711,9.790039,0.043945,0.297607,0.279785
1551.953015,-0.186523,0.704102,10.046875,0.035156,0.376465,0.131104
1551.962336,-0.056641,0.426758,9.921875,-0.157471,0.157715,0.166016
1551.971656,-0.220703,0.585938,10.011719,-0.183594,0.096436,0.096191
1551.980976,-0.050781,0.543945,9.792969,-0.201172,-0.183594,0.139893
1551.990297,-0.165039,0.595703,10.074219,-0.271240,-0.122314,0.000000
1551.999617,-0.054688,0.481445,9.887695,-0.524902,-0.314941,0.131104
1552.008938,-0.062500,0.489258,9.917969,-0.673584,-0.244873,0.148682
1552.018258,-0.136719,0.471680,10.028320,-0.446045,-0.236084,0.043701
1552.027579,-0.060547,0.516602,10.105469,-0.367432,-0.148682,0.043701
1552.036899,0.011719,0.429688,9.865234,-0.358643,-0.227295,0.043701
1552.046219,-0.112305,0.373047,9.940430,-0.218506,-0.183594,0.052490
1552.055540,-0.038086,0.431641,9.852539,-0.183594,-0.209961,0.017334
1552.064860,-0.104492,0.544922,9.886719,-0.218506,-0.104980,-0.008789
1552.074181,-0.056641,0.506836,9.993164,-0.236084,-0.104980,0.061035
1552.083501,-0.044922,0.598633,10.085938,-0.349854,-0.078613,-0.026367
